
==== DEVELOPMENT  Scenario A ====
-- marl_static
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   54     42.7  0.1867   1.00   0.00    215.1   5.07
   55     48.7  0.1724   1.00   0.00    235.8   5.74
   56     37.9  0.1900   1.00   1.00    214.3   5.30
   57     43.6  0.1770   1.00   0.00    219.5   5.90
   58     55.0  0.1585   2.00   1.00    233.7   6.31
   59     50.5  0.1559   2.00   0.00    217.8   5.76
   70     40.0  0.1916   2.00   0.00    226.6   5.27
   71     29.8  0.2495   1.00   0.00    221.7   5.39
   72     63.0  0.1280   1.00   0.00    231.2   5.09
   73     45.8  0.1675   1.00   1.00    225.6   5.77
   74     51.6  0.1585   1.00   0.00    232.2   5.32
   75     37.2  0.2222   2.00   0.00    222.1   5.18
   76     53.0  0.1471   1.00   1.00    217.9   5.27
   77     53.7  0.1499   2.00   0.00    226.3   6.27
   78     45.2  0.1753   2.00   1.00    218.1   4.94
   79     44.7  0.1777   2.00   0.00    224.8   5.40
-- marl_freeze
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   50     43.5  0.1851   1.00   0.00    223.9   5.00
   51     33.4  0.2385   1.00   1.00    221.9   5.57
   52     59.2  0.1506   2.00   0.00    239.4   5.97
   53     47.8  0.1598   2.00   0.00    222.4   5.16
   54     47.3  0.1727   1.00   0.00    217.3   5.00
   55     67.5  0.1396   1.00   0.00    249.9   6.10
   56     51.3  0.1709   1.00   1.00    249.8   5.88
   57     43.9  0.1829   1.00   0.00    216.4   5.95
   58     62.3  0.1521   1.00   2.00    248.5   5.82
   59     46.3  0.1806   2.00   0.00    231.2   5.04
   70     36.2  0.1935   2.00   0.00    222.8   5.25
   71     26.4  0.2793   1.00   0.00    214.0   5.03
   72     70.8  0.1233   1.00   0.00    237.4   4.88
   73     44.6  0.1705   2.00   0.00    228.3   5.17
   74     53.8  0.1554   1.00   0.00    231.5   5.05
   75     36.5  0.2395   2.00   0.00    242.2   4.89
   76     67.0  0.1359   1.00   1.00    237.3   5.48
   77     52.7  0.1641   2.00   0.00    225.3   5.78
   78     52.3  0.1787   2.00   1.00    246.1   5.03
   79     43.6  0.1943   2.00   0.00    229.0   5.23
-- xldet
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   50     44.7  0.1688   1.00   0.00    214.0   5.42
   51     34.3  0.2231   1.00   1.00    213.4   5.94
   52     54.0  0.1586   2.00   0.00    239.3   5.76
   53     36.6  0.1903   2.00   0.00    206.5   5.34
   54     25.7  0.2807   1.00   0.00    199.2   5.00
   55     40.8  0.2030   1.00   0.00    231.3   5.84
